wardcode,wardname,constituencycode,constituencyname
95Q 03,Loughbrickland,N06000017,Upper Bann
95O 02,Loughgall,N06000011,Newry and Armagh
95X 15,Loughries,N06000016,Strangford
95W 25,Loughview,N06000013,North Down
95V 08,Love Lane,N06000005,East Antrim
95Y 11,Lower Braniel,N06000001,Belfast East
95H 04,Lower Glenshane,N06000010,Mid Ulster
95C 20,Macosquin,N06000006,East Londonderry
95S 04,Maghaberry,N06000009,Lagan Valley
95H 05,Maghera,N06000010,Mid Ulster
95S 20,Magheralave,N06000009,Lagan Valley
95N 04,Magheralin,N06000017,Upper Bann
95B 01,Magilligan,N06000006,East Londonderry
95L 06,Maguires Bridge,N06000007,Fermanagh and South Tyrone
95U 01,Mallusk,N06000014,South Antrim
95Z 20,Malone,N06000003,Belfast South
95O 11,Markethill,N06000011,Newry and Armagh
95T 09,Massereene,N06000014,South Antrim
95P 12,Mayobridge,N06000015,South Down
95S 05,Maze,N06000009,Lagan Valley
95V 07,Milebush,N06000005,East Antrim
95O 06,Milford,N06000011,Newry and Armagh
95X 18,Millisle,N06000013,North Down
95Y 23,Minnowburn,N06000003,Belfast South
95G 23,Moat,N06000012,North Antrim
95S 03,Moira,N06000009,Lagan Valley
95I 06,Moneymore,N06000010,Mid Ulster
95Y 09,Moneyreagh,N06000016,Strangford
95U 10,Monkstown,N06000005,East Antrim
95U 13,Mossley,N06000014,South Antrim
95E 06,Moss-Side and Moyarget,N06000012,North Antrim
95C 15,Mount Sandel,N06000006,East Londonderry
95N 24,Mourneview,N06000017,Upper Bann
95X 12,Movilla,N06000016,Strangford
95M 13,Moy,N06000007,Fermanagh and South Tyrone
95M 19,Moygashel,N06000007,Fermanagh and South Tyrone
95M 17,Mullaghmore,N06000007,Fermanagh and South Tyrone
95R 20,Murlough,N06000015,South Down
95Z 18,Musgrave,N06000003,Belfast South
95A 05,New Buildings,N06000008,Foyle
95Z 40,New Lodge,N06000002,Belfast North
95I 13,Newbuildings,N06000010,Mid Ulster
95D 09,Newhill,N06000012,North Antrim
95Y 17,Newtownbreda,N06000003,Belfast South
95L 02,Newtownbutler,N06000007,Fermanagh and South Tyrone
95P 25,Newtownhamilton,N06000011,Newry and Armagh
95K 07,Newtownsaville,N06000018,West Tyrone
95J 04,Newtownstewart,N06000018,West Tyrone
